,2007,2008,2009,2010,2011,2012,2013,2014/p
"AGRICULTURE, FISHERIES &amp; FORESTRY","1,226.10","1,461.80","1,517.90","1,707.10","1,858.80","1,957.00","2,074.80","2,150.00"
    Agriculture &amp; Hunting,700,864.1,908,"1,014.40","1,143.30","1,110.20","1,187.90","1,218.70"
    Forestry &amp; Logging,347.7,399.6,413,537,524.8,598.5,674.1,739.1
    Fishing,178.4,198.1,196.9,155.7,190.6,248.3,212.8,192.2
INDUSTRY,454.4,506.1,616.6,747.7,"1,056.90","1,034.20","1,112.30","1,152.30"
    Mining &amp; Quarrying,5.3,8.6,23.3,37.3,268,180.3,192.6,59.7
    Manufacturing,310.1,343.6,398,465.4,527.3,530.3,534.6,609.6
    Electricity &amp; Water,36.1,35.7,61.5,113.5,127.8,160,195.8,245.4
    Construction,102.9,118.1,133.9,131.5,133.7,163.6,189.3,237.7
SERVICES,"2,367.00","2,655.10","2,896.70","3,160.60","3,354.40","3,692.90","4,174.80","4,380.90"
    Wholesale and Retail Trade,497.3,584.7,641.7,731.3,821.7,920.3,"1,014.00","1,127.10"
    Hotel &amp; Restaurants,28.6,33.5,97.3,137.7,176.6,183.3,207.3,173.4
    Transport &amp; Storage,225.4,257.5,287.3,307.8,323.1,338.3,367,400.7
    Communications,120.2,130.3,134.1,128.3,84.3,75.1,77.5,79.3
    Financial Intermediation,146,199.1,171,132.3,157.6,192.1,215.7,239.4
    Insurance Services,46.9,52,57.1,73.8,87.9,107.2,120.3,133.5
    Real Estate &amp; Renting,262.6,276.1,286.2,296.7,307.6,318.9,394.6,409.1
    Owner Occupied Dwellings,133.9,141.2,146.8,152.6,158.7,197,244.5,243
    Business Services,28.7,34.5,38.3,41.9,49.3,54.2,60.1,63.2
    Public Administration &amp; Defense,431.2,446.4,510.4,570.1,563.1,618,708.1,728
    Education,187.1,217.8,236.9,269.1,286.5,316.8,366.1,367
    Health,76.6,89.3,101,113.5,121.9,137.5,164,166.4
    Other Services,182.6,192.7,188.6,205.5,216.2,234.3,235.6,250.9
Taxes on Products less Subsidies,108.7,121.8,127.9,129,186.9,222.2,226.9,220.5
Less Imputed Bank Charges,-85.5,-136.3,-147.5,-149.2,-160.4,-195.5,-219.5,-243.6
GROSS DOMESTIC PRODUCT (GDP),"4,070.70","4,608.50","5,011.70","5,595.20","6,296.60","6,710.80","7,369.20","7,660.10"
GDP Excluding Development Budget,"3,836.60","4,398.50","4,778.70","5,341.10","6,075.60","6,482.70","7,124.00","7,390.40"
